os_version,release_date
iOS 1.0,2007-06-29
iOS 2.0,2008-07-11
iOS 3.0,2009-06-17
iOS 4.0,2010-06-21
iOS 5.0,2011-10-12
iOS 6.0,2012-09-19
iOS 7.0,2013-09-18
iOS 8.0,2014-09-17
iOS 9.0,2015-09-16
iOS 10.0,2016-09-13
iOS 11.0,2017-09-19
iOS 12.0,2018-09-17
iOS 13.0,2019-09-19
iOS 14.0,2020-09-16
iOS 15.0,2021-09-20
iOS 16.0,2022-09-12
iOS 17.0,2023-09-18
iOS 18.0,2024-09-16
iOS 26.0,2025-09-15
Android 1.0,2008-09-23
Android 1.5,2009-04-27
Android 1.6,2009-09-15
Android 2.0,2009-10-26
Android 2.2,2010-05-20
Android 2.3,2010-12-06
Android 3.0,2011-02-22
Android 4.0,2011-10-18
Android 4.1,2012-07-09
Android 4.4,2013-10-31
Android 5.0,2014-11-12
Android 6.0,2015-10-05
Android 7.0,2016-08-22
Android 8.0,2017-08-21
Android 9.0,2018-08-06
Android 10,2019-09-03
Android 11,2020-09-08
Android 12,2021-10-04
Android 13,2022-08-15
Android 14,2023-10-04
Android 15,2024-09-01
Android 16,2025-06-10
